"live_in_england","first_name","middle_name","last_name","city","address_l1","address_l2","county","postcode","nhs_number","carry_supplies","reference_id","full_dob","session_id","csrf_token","phone_number_calls","phone_number_texts","contact","know_nhs_number","check_answers_seen","nhs_letter","basic_care_needs","dietary_requirements","medical_conditions","essential_supplies","updated_at","referenceid","unixtimestamp","created_at"
"yes","Jose","Crist","Lehner","West End","4015 White Grove","Aubree Course","Norfolk","LL535NP","2847926933","no","20200504-801171-46E3E3","2006-01-23","ede8e27ac10d4ada8d44db55cf3e3bd3","e35e2ebf761e4cd8a70fea62c2e71054","(03324) 60537","(06522) 06331","bfm@un.nuv","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1999-12-04 05:14:59","20200504-801171-46E3E3","1987-02-24 16:32:52","2003-12-07 10:12:40"
"no","Draven","Kris","Borer","The Pound","6939 Arno Lights Suite 073","Stroman Hills","Gloucestershire","DN158SX","1607220326","yes","20200427-588448-C53CA5","2005-06-12","74e124a0349a4aa7b043ab49a1311691","2bb5c01156cc43ecb1f7b89d7a04a923","+44(0)838118003","04604 07902","ulb@qvj.inx","YES, I KNOW MY NHS NUMBER","FALSE","no","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1993-03-30 17:59:39","20200427-588448-C53CA5","1982-10-08 12:26:05","2007-11-08 17:28:13"
"no","Fidencio","Willow","Homenick","Pimlico","461 Cummings Land","Stanislaus Crescent","Hertfordshire","SY7 0BS","4332238412","no","20200506-206895-7F1AF4","2006-05-25","09c199f484b04a468da6211b3bb5cd16","caf50a85ea00439cbe64f9f95cf03028","08646252023","01681950694","sdqcnwzbja@ejagv.jtp","YES, I KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1984-03-05 06:39:48","20200506-206895-7F1AF4","2002-05-09 13:20:08","2008-04-16 12:43:08"
"yes","Furman","Kling","Hettinger","Chalford","7140 Tennille Islands","Roberta Rue","Gloucestershire","BT148AY","1748330335","no","20200429-625474-7C6FEC","2006-08-12","ac31e9aec4fb4cb4b9bf0913d68d068d","e2695cea57cf4686854d624fdcde8077","(02733) 358767","(06863) 099024","jptacrondu@rct.zut","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1978-04-12 12:59:23","20200429-625474-7C6FEC","2009-07-25 16:04:02","1977-01-19 04:32:19"
"no","Dawne","Cruickshank","McClure","Manor Park","331 Jakubowski Motorway","Kuvalis Shore","Buckinghamshire","ML2 7TA","5990204853","no","20200430-312292-AC8491","2007-04-18","94f9e020be9647cca79c994c4e3a28bc","c7cb6ef75b5847789fa28fecc405fabe","0628182166","03111134698","ropxmznthj@jfacrikqbe.lou","YES, I KNOW MY NHS NUMBER","TRUE","no","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2014-09-04 14:03:16","20200430-312292-AC8491","1972-08-09 17:12:06","1989-07-27 00:19:15"
"yes","Mose","Kertzmann","Kozey","Weston Colville","310 Collins Pine","Fisher Parkways","Cambridgeshire","BS262BH","9838054844","no","20200510-541802-F49BE6","2006-04-16","21fc259f6336444e8d2c4a0b62bc7aa7","152e39cb3ea94a1e8b675dc4b1198c5d","06567274459","(03993) 39807","vgnpmxh@d.mdy","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2002-09-23 04:50:19","20200510-541802-F49BE6","1990-01-18 11:49:36","1975-03-04 04:00:59"
"no","Rance","Okuneva","Batz","Bockhanger","64700 Heaney Oval","Rayfield Mills","Kent","CW6 9LX","6202403072","yes","20200421-774517-4CBE40","2005-12-08","ed1f0f8e4569452580dbf485d441d8c9","55dbc6773c4345159612a30ce9ccd996","+44(0)6954 80619","+44(0)3406718625","yw@far.zwh","YES, I KNOW MY NHS NUMBER","FALSE","yes","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","2013-07-13 11:59:32","20200421-774517-4CBE40","1997-09-23 08:07:25","2009-04-16 01:36:08"
"yes","Kaiden","Goyette","Klein-Yundt","Great Ashley","343 Weimann Overpass Suite 894","Greenholt Estate","Wiltshire","BT343JE","3428899022","yes","20200518-385386-D49E0B","2006-07-05","01e5b2c2cf6d4b4d958bcaac49db0489","c412ffc271064e4a917b5f4159860ccb","0653352438","06727 22269","agptfwjsh@dmigtvsuqr.ole","YES, I KNOW MY NHS NUMBER","TRUE","yes","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2009-01-02 04:15:48","20200518-385386-D49E0B","1999-01-22 15:25:24","2014-09-29 08:32:32"
"yes","Killian","Thiel","Hudson","Debenham","8987 Sawayn Overpass Apt. 857","Friesen Overpass","Suffolk","CM194LU","6460134524","yes","20200422-909629-D61EEB","2005-09-17","03406869e89b42b3b3307103c0bc5a40","229b98384fc44daa8ae512b2a1017695","03558921809","(05982) 893346","in@gabmo.yur","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1999-09-02 23:21:15","20200422-909629-D61EEB","1996-07-22 02:41:39","2017-12-09 10:50:52"
"yes","Jadyn","Nader","McGlynn-Monahan","Eskrigge","101 Heathcote Corner","Maggio Points","Lancashire","BT578UB","3655007461","yes","20200424-953358-035BDF","2006-04-05","e22635131ace49e5818651fb334920ba","9b40edd35fd44b6983be6bb2cf540fa8","03033 07511","+44(0)359785371","wrl@mcazbqp.pex","YES, I KNOW MY NHS NUMBER","FALSE","no","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1980-07-07 19:38:12","20200424-953358-035BDF","1978-01-10 01:05:48","1985-04-20 22:33:16"
"yes","Tamiko","Zemlak-Runolfsson","Dibbert","Marton Grove","2508 Eichmann Freeway Suite 420","Edgardo Turnpike","Middlesbrough","HG3 3LZ","6885566619","yes","20200510-320722-332A9D","2005-11-07","d31b6bb15e7c4385a3e93fa28d6ef465","2b3b290406d34957b891af6a319e9781","00890 74608","(09667) 273502","lgwkafyjn@ckvipxjg.vfg","YES, I KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2011-07-06 05:20:37","20200510-320722-332A9D","1978-11-24 04:27:29","1992-10-15 17:01:56"
"no","Dion","Schmeler","Bernhard","Velindre","368 Barrows Heights Suite 624","Mueller Ridges","Castell-nedd Port Talbot - Neath Port Talbot","OL5 9LF","7030200981","yes","20200521-899471-C194C4","2007-03-18","4170899b14334bffb4eff7be71956a6a","7ca020502a5040a483a476a9e151a0cd","0785934062","06812 987481","arlp@bj.yhs","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1984-04-16 15:40:32","20200521-899471-C194C4","1975-03-09 23:36:06","2016-06-11 21:12:54"
"no","Pluma","Rau","Marquardt","Tremethick Cross","86466 Mills Isle Suite 245","Shields Isle","Cornwall","DY123BE","2053420040","yes","20200424-796457-00F3FF","2005-10-14","f84caf23cb58425ebc4440c4dd92574d","502da29b1d4846aca123452a24fb9c9a","(01572) 46480","(08965) 358226","fcunz@nkrd.opg","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","2013-06-17 18:53:02","20200424-796457-00F3FF","1994-01-24 01:54:41","2010-08-02 15:47:12"
"no","Elizabeth","Celia","Kerluke","Aythorpe Roding","0687 Dickens Circles","Stoltenberg Brook","Essex","SW162AS","3484828891","yes","20200505-659674-C5E22A","2007-01-04","6a2b533d2dab43618154aed086641289","ed5f96d6846f4595ad7c5db5b73ac0b1","+44(0)5134 17998","+44(0)2986 524040","lmc@ftoshryme.niu","YES, I KNOW MY NHS NUMBER","FALSE","yes","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1975-03-31 07:46:52","20200505-659674-C5E22A","1971-01-26 09:39:09","1981-06-30 16:55:29"
"yes","Chase","Haley","Carter","Garnfadryn","036 Caylee Brooks","Huels Street","Gwynedd - Gwynedd","M30 8PQ","2437548204","no","20200502-525764-2D6CF0","2006-05-29","7d73efaf59404e4cb56686a8455d1eca","1b0c5fc3891e40d8bafc4c3e02fa0fbe","08647 27923","+44(0)9207 247543","wktenrz@satzgpwrdl.iam","YES, I KNOW MY NHS NUMBER","FALSE","yes","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1980-05-25 12:37:03","20200502-525764-2D6CF0","1973-07-22 21:47:31","1979-09-30 02:36:46"
"yes","Jakobe","Antonia","Johns","Harthill","7293 Gloria Loaf Apt. 964","Rogahn Estate","North Lanarkshire","EC1P1LQ","9085476698","yes","20200520-170731-430D12","2006-11-09","6a106983f70a48e58ba8b35ceb87ad7f","b3bed82a6fbd42f2b093378b96902110","05266829908","(05317) 640819","mfkhvgy@dtpfagboui.izq","YES, I KNOW MY NHS NUMBER","FALSE","yes","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","2008-08-25 05:27:59","20200520-170731-430D12","1980-11-06 13:41:23","2018-02-01 17:11:11"
"yes","Dorothy","Harber","Bogan","Sannox","75113 Bernhard Light","Jordi Cliffs","North Ayrshire","RG1 7UN","7638710676","yes","20200501-531810-615667","2006-09-09","2302c2a73a3e4c9a9b3710700ad419a5","914923e5659e4c9ebb5aaa717a007576","06805 776159","07664 548523","qsa@jpl.iuq","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2005-03-05 02:56:55","20200501-531810-615667","1985-02-13 21:38:04","2005-03-25 21:39:25"
"yes","Lessie","Wintheiser","Brekke","Shawbury","893 Eddy Pike","Beer Bridge","Shropshire","DN174RL","7861819568","yes","20200422-677225-C4BF13","2005-09-16","b2a8063c72a743e2ab0c89e1bb0d1041","caa5ca3da6404d628b4598765311aeeb","(02439) 503046","+44(0)6249469542","eqbwz@ar.dvg","YES, I KNOW MY NHS NUMBER","FALSE","no","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1982-06-30 17:25:28","20200422-677225-C4BF13","1987-11-27 18:52:59","2013-09-05 06:05:57"
"no","Georgetta","Lylah","Hodkiewicz","North Lee","0648 Ernser Corner Suite 510","Vernetta Village","Buckinghamshire","SA3 4RB","7972415835","yes","20200504-248628-08AD11","2007-05-18","13f9480264394af1a0c325a53aa6ac84","e308b419a9e34bf28b7b12449a2ebd4b","07227 20966","(09025) 41432","zyhqjt@ock.iar","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","no","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2006-09-09 18:49:55","20200504-248628-08AD11","1993-08-09 18:42:42","1978-09-27 00:33:51"
"no","Claudia","Ryan","Mann-Kunde","Auchenharvie","81124 Cappie Union Suite 930","Kelton Junction","North Ayrshire","BT610BX","3935192435","no","20200505-402832-096667","2006-04-28","12f683b117614d41a8fb38db9e2da6a9","0b0a0419a0f845e3ac10b0f568e584a7","+44(0)5600 221177","+44(0)7132 50540","shzkecxjaw@alsdcfhw.tmz","YES, I KNOW MY NHS NUMBER","TRUE","yes","yes","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1999-04-05 18:26:10","20200505-402832-096667","1999-10-18 11:54:24","2000-10-12 01:19:17"
"yes","Zigmund","Nelson","Conroy","Auchtercairn","69654 Paralee Junction","Sporer Lane","Highland","SK148HB","5977286857","no","20200519-307847-F660B7","2005-09-25","521a593965ba4a6f88999d327d86aa0d","5f385961339741c896af1421a42cf525","08720 26158","(01689) 20279","qoaefv@lh.ivb","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","no","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1994-12-08 20:31:28","20200519-307847-F660B7","1984-07-19 19:34:46","1988-10-20 01:50:34"
"no","Rosalie","Zemlak","Leffler-Mraz","South Shields","077 Daxton Ridges","Calhoun Knolls",NA,"NP9 0XP","6609635209","no","20200519-427325-F1A537","2005-05-29","f2fe1dd2bd0c4eea922cec7461f47f20","33698b692fe148a5a7398b850950e7c0","+44(0)8589 39895","09250 51799","o@uwz.nwo","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1992-11-17 13:34:21","20200519-427325-F1A537","1976-04-27 06:50:16","1993-07-19 14:36:35"
"no","Harley","Spinka","Sauer","Ffordd-las","50855 Lenna Curve Suite 070","Dee Wall","Sir Ddinbych - Denbighshire","N20 0HP","9279311578","no","20200426-548563-D200B2","2006-04-17","c5e80f056c194e81beb427f8eb96612e","a2207a6d85434ea1b7ee89b312c42d77","0835349244","+44(0)2162 99321","c@k.lmd","YES, I KNOW MY NHS NUMBER","FALSE","no","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","2008-08-03 10:59:54","20200426-548563-D200B2","1985-11-17 15:41:09","1989-11-14 05:31:02"
"yes","Jettie","Issac","Mueller","Nerston","13898 Hoeger View Apt. 415","Kuvalis Mills","South Lanarkshire","L20 7WA","6072690740","no","20200423-925494-59A058","2005-06-08","5ec23aa51805420bb884b8449b15bba1","b324084387d24e678f4565edbde15b33","01385550338","+44(0)0872091137","rmivynzpa@yitfhpnzjl.wdc","YES, I KNOW MY NHS NUMBER","FALSE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1986-11-07 06:31:21","20200423-925494-59A058","1983-04-12 22:23:14","1995-03-15 04:36:42"
"yes","Elex","Stamm","Nikolaus","Barlborough","90973 Squire Square Apt. 497","Geovanni Parkways","Derbyshire","S13 8AR","9221692132","no","20200502-393437-464A52","2006-09-06","ad221c26615a4a50bef85dda25f502ba","90879313fb724874b20fee684da7e6c7","+44(0)2377708067","07122 22225","ugqbo@kwcjla.zka","YES, I KNOW MY NHS NUMBER","TRUE","yes","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1992-05-08 08:27:27","20200502-393437-464A52","2000-04-08 04:47:10","2004-08-10 08:13:03"
"yes","Jerrod","Jakayla","Zboncak","Hollows","8745 Sudie Pines Suite 573","Coralie Green","Dumfries and Galloway","WV112NS","8602133858","no","20200520-850209-C906BD","2007-03-17","7925337b798e455f8e342715fd2a1387","5bfdff9ceebc48578015e5aff7a8c26a","05619 398125","09263 857990","ifxa@kh.eaw","YES, I KNOW MY NHS NUMBER","FALSE","yes","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1998-10-05 16:42:12","20200520-850209-C906BD","1979-02-06 20:45:03","2011-05-23 13:38:43"
"no","Rich","Aufderhar","Wehner","Gallowflat","8645 Mattye Coves Suite 102","Kilback Summit","South Lanarkshire","ML1 3YA","3511967745","no","20200508-753172-A52B1E","2005-11-22","7b4446147d214f79a5042f6e9de6b14b","484c4722e3a1404f8956f8935d8e0442","01804 437109","+44(0)1981 116559","ohkwbs@yst.dmh","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","no","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1974-04-21 17:08:36","20200508-753172-A52B1E","1991-06-22 23:11:49","1974-01-21 02:32:02"
"no","Gonzalo","Metz","Kulas","Lower Bradley","924 Nella Valley Suite 489","Bauch Terrace",NA,"M7  9SZ","8020842142","yes","20200509-430723-3A5DE4","2006-04-24","cb3acc5d07ce45099672ad16ebfc8f94","b016266134ef47408deda5401a45190b","(03476) 065042","06681 898943","pcwi@xhyaebifg.jbl","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1982-02-14 14:01:54","20200509-430723-3A5DE4","1995-03-24 07:38:43","2008-05-24 09:30:30"
"no","Codi","Boehm","Runolfsson","Minster","820 Carter Estates","Wisozk Lane","Kent","LS252HD","6556229504","no","20200421-436221-F0DB20","2007-03-12","a258b3e1549748dc9a8b170ce1830c9d","bf6fdd054f124b249c2c0a59b49e26a5","+44(0)2893110584","+44(0)8117747762","lpdwvcg@wnqtmdsi.ekw","YES, I KNOW MY NHS NUMBER","FALSE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2015-10-05 05:29:01","20200421-436221-F0DB20","1975-12-17 22:09:04","1976-08-25 20:07:58"
"no","Lourdes","Mertz","Jast","Newport","76407 Oralia Cliffs","Brekke Mountain","East Riding of Yorkshire","RM139EA","2467675974","yes","20200422-759472-07CB25","2005-08-26","361058953a7346188b903d7ae968d6f2","be7c202b14344de289c8a8b9a2438db4","(01330) 884648","(04472) 304077","bhj@zwarqi.ahg","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1979-09-08 16:23:43","20200422-759472-07CB25","2012-11-02 19:43:08","1974-06-29 12:22:28"
"yes","Gianni","Cary","Nikolaus","St Mary's","8261 Regan Ville Apt. 742","Tillman Common","City of Southampton","CB6 2TW","3510637794","no","20200507-213742-827775","2005-09-28","6b0a9defdf9c4f119e216a8c6803b774","de1f6ccface749f39419ba9186825588","06603351836","00327 45219","laqhks@pyaozgdr.aht","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","2019-06-14 20:44:58","20200507-213742-827775","2018-10-03 20:39:33","1999-07-12 23:14:15"
"no","Simona","Stamm","Kuhlman","Perranuthnoe","930 Giancarlo Shoal","Watsica Brook","Cornwall","BN159AL","2768746034","yes","20200510-908052-78FEC1","2006-04-30","4d00c4f93dac417bb670e9d8cdde1e0b","7945d4d0a5ad4db8a205833c327d4c05","0221509900","+44(0)0392 26576","majlnutc@xekiwd.fix","YES, I KNOW MY NHS NUMBER","TRUE","yes","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1977-05-16 06:10:14","20200510-908052-78FEC1","2004-06-06 04:25:12","1988-07-10 01:05:53"
"no","Tawny","Luella","Dooley","Merrymeet","57093 Von Canyon Apt. 257","Stehr Tunnel","Cornwall","CM9 4FL","4947581965","no","20200424-173522-C23019","2007-04-20","93e8c7d6d0d34cb998dadabbcd6cb8e1","a8fb974c689b4a688192c8b670759ed6","+44(0)9322346081","+44(0)1548 07608","dgjpisfvo@jtpgyez.cqg","YES, I KNOW MY NHS NUMBER","FALSE","no","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1999-04-20 02:10:05","20200424-173522-C23019","2003-08-11 14:03:04","1982-08-24 11:48:10"
"yes","Joseph","Dietrich","Champlin","Barrowfield","864 Waldemar Flat","Collins Crest","North Lanarkshire","SL6 7BW","8792759951","yes","20200423-216470-E18A43","2006-06-15","fc3c01ae12c34fec9817faea85eaf9ca","82228093a84b483884957e37faabf071","(09467) 07237","+44(0)0975 35161","pwuxcei@k.quj","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1994-04-27 04:59:00","20200423-216470-E18A43","2001-08-04 08:05:11","2015-02-22 19:02:37"
"no","Ilene","Alabama","Tromp","Bramelane","6530 Von Well Apt. 532","Feeney Lodge","North Yorkshire","E12 6UW","4357067671","yes","20200505-971188-D81414","2006-04-07","e913a157f0d44bd8ab6a9d83a5c519db","71dd5cff1d7d4e50a05f568d4def62d2","04335 202046","0236648192","sbge@dqpfj.qto","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1978-08-24 05:55:41","20200505-971188-D81414","2007-05-23 15:24:48","1995-03-28 22:49:59"
"no","Mandie","Carroll","Grant","Flowers Green","552 Kertzmann Center","Reichert Row","East Sussex","AB5 6YL","7690311533","yes","20200430-402024-9428CC","2006-01-02","4afb7d51d9df4f5194688ef7ee99ad19","36c6c5f787ea4e3c983cd76dfe07f5c4","+44(0)104013546","+44(0)0112 64328","u@qyol.blu","YES, I KNOW MY NHS NUMBER","FALSE","yes","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1975-09-17 05:43:09","20200430-402024-9428CC","1980-05-29 04:48:54","1980-02-26 00:32:48"
"no","Jayden","Lynch","Anderson","Otterswick","93141 Thompson Streets","Vella Run","Orkney Islands","AL5 4DP","3555791868","no","20200503-212655-387833","2005-11-21","4dbe32f6cf8c4c0790223d88d47c6861","a8dfe77459e54d74a15ec19f1ff35763","(09726) 65949","08424243857","bdifzwtkyl@mekjdx.xul","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1986-01-29 23:17:04","20200503-212655-387833","2004-08-31 09:28:25","1999-02-11 18:15:00"
"yes","Dani","Ondricka","Senger","Glandwr","193 Schumm Trail","Marks Extensions","Sir Benfro - Pembrokeshire","HR4 8JB","1207530320","yes","20200518-749703-A254D7","2006-03-27","38c84249fc4242b685eab760712593d1","910b78976c94463ea94b0b83c62e9c47","+44(0)784462035","03950 30137","pmok@plcie.fvm","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1972-03-04 08:48:28","20200518-749703-A254D7","1984-09-09 05:33:18","1972-03-23 16:29:12"
"yes","Sydni","Hassie","Carter","Pant-Iasau","5365 Torp Falls Suite 004","Branden River","Abertawe - Swansea","BD6 3EG","4007560843","yes","20200423-108019-C5C2B6","2006-10-29","f4273aa8a4e948f9a569ab4cc8291d59","1f646499d53b432b9de8c27a56a59f3b","(01215) 595419","03271 705961","xfebt@peb.nda","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1990-08-18 15:00:47","20200423-108019-C5C2B6","2009-05-22 00:43:29","1989-10-04 18:20:25"
"no","Landan","Gutkowski","Medhurst","Long Lawford","671 Sharee Ridges Apt. 948","Pasquale Lane","Warwickshire","SK126EB","8462246622","yes","20200421-701105-20AE59","2005-09-21","1887a6de7c1d44b0bd29fa4a01e8174b","8b9c976965a849018bc337c0650dd63a","+44(0)8322 54196","+44(0)886490072","eboxcpmfni@zwhrtuepqn.xmp","YES, I KNOW MY NHS NUMBER","FALSE","no","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1979-05-30 21:15:23","20200421-701105-20AE59","1976-10-21 09:00:19","2004-03-25 05:07:56"
"no","Jaclyn","Marquardt","Reichert-Wiza","Holmside","43504 Amma Brooks","Seamus Mills","County Durham","CH637NH","9867417837","no","20200508-640058-15BA01","2007-01-03","f0201c848e7040da94eebae0b432d31c","2da8fb6e111145b08f5412776670e9bd","06071 814646","+44(0)0558674145","v@upy.yde","YES, I KNOW MY NHS NUMBER","FALSE","no","yes","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1973-03-28 01:47:58","20200508-640058-15BA01","1970-06-19 18:58:28","1988-01-20 20:42:15"
"no","Krysten","Keeling","Bartell","Queen's Park","57799 Rex Ville","Kit Unions","Glasgow City","HP218PE","4897989768","yes","20200505-360005-2614A7","2005-08-30","36337ea50dc44194adcea3289a1a17f9","977c0bec7664451a86a2c062dc650729","+44(0)1102632856","(01345) 23082","qbtkfchxw@ixnqcwzt.vzg","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2004-12-30 02:02:02","20200505-360005-2614A7","1999-05-20 22:29:57","1998-03-27 22:42:12"
"no","Zona","Dema","Lueilwitz","Backwell","56975 Schoen Points Apt. 236","Botsford Glen","North Somerset","WA9 3GZ","2481997342","yes","20200506-306689-41AAED","2005-08-11","122ea0c341734ab5b4bfd8d572d9d507","ece3684657dd451b988370942d556e5b","0343107043","06271217603","q@qchye.nfh","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1976-08-14 20:29:04","20200506-306689-41AAED","2001-10-08 22:51:00","2013-09-21 22:12:23"
"yes","Christop","Stamm-Shields","McKenzie","Llanllywel","789 Nader Common Suite 406","Hayley Camp","Sir Fynwy - Monmouthshire","PE6 9RN","3745123612","no","20200428-313219-1922F2","2006-09-21","f70ab8359db34387b52991bec0cb4c8f","87030f4b403f4a4b903ad6a573a1d4c3","+44(0)8683728355","+44(0)0601 12541","tukzcrsvji@ihswkq.ptz","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1984-08-31 09:14:09","20200428-313219-1922F2","2003-04-20 22:44:36","2009-07-18 14:21:23"
"yes","Baby","Nitzsche","Weimann","Taston","576 Raoul Land","Jarod Views","Oxfordshire","BR6 7DH","4163232853","yes","20200504-183035-09FDB7","2006-07-03","fdf9f389f98b4a6bacbc90a93e9377db","8e7371b1d95f4a3a94a401d789b9a1bd","03571 021772","+44(0)5534 73654","zng@lgwy.jwr","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2004-08-03 08:53:03","20200504-183035-09FDB7","1987-11-04 03:01:55","2013-11-16 06:13:26"
"yes","Norah","Khari","Brown-Armstrong","Langholm","3879 Cronin Hill Apt. 904","Cordia Key","Dumfries and Galloway","WV1 1DJ","2205115461","no","20200427-412358-E965E7","2006-08-20","f9deee3a6d9e441097b86c1bfb900953","be748168f3d94115a0a6612ae4445853","(07857) 123205","02682 826443","uk@x.par","YES, I KNOW MY NHS NUMBER","FALSE","yes","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2014-08-14 11:26:22","20200427-412358-E965E7","1995-03-05 18:24:20","1998-04-07 18:26:48"
